-7.5	-34	-80	-7.84E-03	8.42E-03	6.07E-03
-7	-34	-80	-8.43E-03	8.02E-03	5.83E-03
-6.5	-34	-80	-9.03E-03	7.62E-03	5.56E-03
-6	-34	-80	-9.61E-03	7.18E-03	5.27E-03
-5.5	-34	-80	-1.01E-02	6.69E-03	4.97E-03
-5	-34	-80	-1.06E-02	6.19E-03	4.58E-03
-4.5	-34	-80	-1.11E-02	5.64E-03	4.21E-03
-4	-34	-80	-1.15E-02	5.07E-03	3.81E-03
-3.5	-34	-80	-1.19E-02	4.46E-03	3.35E-03
-3	-34	-80	-1.23E-02	3.87E-03	2.90E-03
-2.5	-34	-80	-1.25E-02	3.26E-03	2.48E-03
-2	-34	-80	-1.28E-02	2.61E-03	1.97E-03
-1.5	-34	-80	-1.30E-02	1.97E-03	1.49E-03
-1	-34	-80	-1.31E-02	1.32E-03	1.02E-03
-0.5	-34	-80	-1.32E-02	6.47E-04	5.16E-04
0	-34	-80	-1.32E-02	6.82E-20	4.57E-20
0.5	-34	-80	-1.32E-02	-6.47E-04	-5.16E-04
1	-34	-80	-1.31E-02	-1.32E-03	-1.02E-03
1.5	-34	-80	-1.30E-02	-1.97E-03	-1.49E-03
2	-34	-80	-1.28E-02	-2.61E-03	-1.97E-03
2.5	-34	-80	-1.25E-02	-3.26E-03	-2.48E-03
3	-34	-80	-1.23E-02	-3.87E-03	-2.90E-03
3.5	-34	-80	-1.19E-02	-4.46E-03	-3.35E-03
4	-34	-80	-1.15E-02	-5.07E-03	-3.81E-03
4.5	-34	-80	-1.11E-02	-5.64E-03	-4.21E-03
5	-34	-80	-1.06E-02	-6.19E-03	-4.58E-03
5.5	-34	-80	-1.01E-02	-6.69E-03	-4.97E-03
6	-34	-80	-9.61E-03	-7.18E-03	-5.27E-03
6.5	-34	-80	-9.03E-03	-7.62E-03	-5.56E-03
7	-34	-80	-8.43E-03	-8.02E-03	-5.83E-03
7.5	-34	-80	-7.84E-03	-8.42E-03	-6.07E-03
-7.5	-32	-80	-9.38E-03	9.93E-03	8.46E-03
-7	-32	-80	-1.01E-02	9.51E-03	8.19E-03
-6.5	-32	-80	-1.09E-02	9.06E-03	7.81E-03
-6	-32	-80	-1.16E-02	8.52E-03	7.35E-03
-5.5	-32	-80	-1.23E-02	7.97E-03	6.93E-03
-5	-32	-80	-1.30E-02	7.37E-03	6.45E-03
-4.5	-32	-80	-1.35E-02	6.71E-03	5.90E-03
-4	-32	-80	-1.41E-02	6.07E-03	5.33E-03
-3.5	-32	-80	-1.46E-02	5.42E-03	4.74E-03
-3	-32	-80	-1.50E-02	4.66E-03	4.09E-03
-2.5	-32	-80	-1.53E-02	3.90E-03	3.47E-03
-2	-32	-80	-1.56E-02	3.15E-03	2.81E-03
-1.5	-32	-80	-1.58E-02	2.38E-03	2.11E-03
-1	-32	-80	-1.60E-02	1.61E-03	1.40E-03
-0.5	-32	-80	-1.61E-02	8.04E-04	7.05E-04
0	-32	-80	-1.61E-02	-1.01E-20	-9.01E-21
0.5	-32	-80	-1.61E-02	-8.04E-04	-7.05E-04
1	-32	-80	-1.60E-02	-1.61E-03	-1.40E-03
1.5	-32	-80	-1.58E-02	-2.38E-03	-2.11E-03
2	-32	-80	-1.56E-02	-3.15E-03	-2.81E-03
2.5	-32	-80	-1.53E-02	-3.90E-03	-3.47E-03
3	-32	-80	-1.50E-02	-4.66E-03	-4.09E-03
3.5	-32	-80	-1.46E-02	-5.42E-03	-4.74E-03
4	-32	-80	-1.41E-02	-6.07E-03	-5.33E-03
4.5	-32	-80	-1.35E-02	-6.71E-03	-5.90E-03
5	-32	-80	-1.30E-02	-7.37E-03	-6.45E-03
5.5	-32	-80	-1.23E-02	-7.97E-03	-6.93E-03
6	-32	-80	-1.16E-02	-8.52E-03	-7.35E-03
6.5	-32	-80	-1.09E-02	-9.06E-03	-7.81E-03
7	-32	-80	-1.01E-02	-9.51E-03	-8.19E-03
7.5	-32	-80	-9.38E-03	-9.93E-03	-8.46E-03
-7.5	-30	-80	-1.11E-02	1.15E-02	1.15E-02
-7	-30	-80	-1.20E-02	1.10E-02	1.10E-02
-6.5	-30	-80	-1.30E-02	1.05E-02	1.06E-02
-6	-30	-80	-1.39E-02	9.86E-03	9.99E-03
-5.5	-30	-80	-1.48E-02	9.23E-03	9.37E-03
-5	-30	-80	-1.56E-02	8.52E-03	8.71E-03
-4.5	-30	-80	-1.63E-02	7.81E-03	7.99E-03
-4	-30	-80	-1.70E-02	7.04E-03	7.20E-03
-3.5	-30	-80	-1.76E-02	6.24E-03	6.42E-03
-3	-30	-80	-1.81E-02	5.44E-03	5.58E-03
-2.5	-30	-80	-1.86E-02	4.53E-03	4.68E-03
-2	-30	-80	-1.90E-02	3.67E-03	3.76E-03
-1.5	-30	-80	-1.92E-02	2.78E-03	2.85E-03
-1	-30	-80	-1.94E-02	1.84E-03	1.89E-03
-0.5	-30	-80	-1.95E-02	9.53E-04	9.29E-04
0	-30	-80	-1.96E-02	0	0
0.5	-30	-80	-1.95E-02	-9.53E-04	-9.29E-04
1	-30	-80	-1.94E-02	-1.84E-03	-1.89E-03
1.5	-30	-80	-1.92E-02	-2.78E-03	-2.85E-03
2	-30	-80	-1.90E-02	-3.67E-03	-3.76E-03
2.5	-30	-80	-1.86E-02	-4.53E-03	-4.68E-03
3	-30	-80	-1.81E-02	-5.44E-03	-5.58E-03
3.5	-30	-80	-1.76E-02	-6.24E-03	-6.42E-03
4	-30	-80	-1.70E-02	-7.04E-03	-7.20E-03
4.5	-30	-80	-1.63E-02	-7.81E-03	-7.99E-03
5	-30	-80	-1.56E-02	-8.52E-03	-8.71E-03
5.5	-30	-80	-1.48E-02	-9.23E-03	-9.37E-03
6	-30	-80	-1.39E-02	-9.86E-03	-9.99E-03
6.5	-30	-80	-1.30E-02	-1.05E-02	-1.06E-02
7	-30	-80	-1.20E-02	-1.10E-02	-1.10E-02
7.5	-30	-80	-1.11E-02	-1.15E-02	-1.15E-02
-7.5	-28	-80	-1.30E-02	1.29E-02	1.51E-02
-7	-28	-80	-1.43E-02	1.24E-02	1.46E-02
-6.5	-28	-80	-1.55E-02	1.18E-02	1.39E-02
-6	-28	-80	-1.66E-02	1.11E-02	1.32E-02
-5.5	-28	-80	-1.76E-02	1.04E-02	1.24E-02
-5	-28	-80	-1.86E-02	9.63E-03	1.15E-02
-4.5	-28	-80	-1.95E-02	8.78E-03	1.05E-02
-4	-28	-80	-2.03E-02	7.96E-03	9.46E-03
-3.5	-28	-80	-2.11E-02	7.03E-03	8.44E-03
-3	-28	-80	-2.17E-02	6.03E-03	7.26E-03
-2.5	-28	-80	-2.22E-02	5.08E-03	6.12E-03
-2	-28	-80	-2.27E-02	4.08E-03	4.92E-03
-1.5	-28	-80	-2.31E-02	3.10E-03	3.76E-03
-1	-28	-80	-2.33E-02	2.09E-03	2.52E-03
-0.5	-28	-80	-2.35E-02	1.05E-03	1.25E-03
0	-28	-80	-2.35E-02	0	0
0.5	-28	-80	-2.35E-02	-1.05E-03	-1.25E-03
1	-28	-80	-2.33E-02	-2.09E-03	-2.52E-03
1.5	-28	-80	-2.31E-02	-3.10E-03	-3.76E-03
2	-28	-80	-2.27E-02	-4.08E-03	-4.92E-03
