-40	-30	-200	2.28814e-05	-0.000165814	0.000123345
-40	-30	-190	2.65974e-05	-0.000187499	0.000140293
-40	-30	-180	2.99662e-05	-0.000212698	0.000157565
-40	-30	-170	3.14869e-05	-0.000242324	0.000172641
-40	-30	-160	2.75846e-05	-0.000278082	0.000180197
-40	-30	-150	9.94619e-06	-0.000323693	0.000169576
-40	-30	-140	-4.06547e-05	-0.000388104	0.000120442
-40	-30	-130	-0.000168796	-0.000493793	-3.59079e-06
-40	-30	-120	-0.000478022	-0.000697969	-0.000259399
-40	-30	-110	-0.00120631	-0.0011444	-0.000702952
-40	-30	-100	-0.00287392	-0.0021753	-0.00123661
-40	-30	-90	-0.00642161	-0.00446812	-0.000931845
-40	-30	-80	-0.0122022	-0.00839896	0.00410905
-40	-30	-70	-0.0123284	-0.00834488	0.0201382
-40	-30	-60	1.00798	-0.0298544	0.569632
-40	-30	-50	0.774403	-2.55146	1.16435
-40	-30	-40	0.631625	0.491127	0.740038
-40	-30	-30	1.53794	3.12762	1.376
-40	-30	-20	1.93264	1.20228	0.525629
-40	-30	-10	1.6446	0.995933	-0.500968
-40	-30	0	0.480344	1.0339	-0.0111521
-40	-30	10	1.64503	0.99626	0.501994
-40	-30	20	1.93368	1.20309	-0.524703
-40	-30	30	1.53975	3.12913	-1.37589
-40	-30	40	0.633176	0.49283	-0.742096
-40	-30	50	0.773807	-2.55109	-1.16808
-40	-30	60	1.00506	-0.0315187	-0.572329
-40	-30	70	-0.0152236	-0.0103498	-0.0202294
-40	-30	80	-0.0139533	-0.00966361	-0.0032859
-40	-30	90	-0.00745485	-0.00522158	0.00175457
-40	-30	100	-0.0035315	-0.00265463	0.00191479
-40	-30	110	-0.00165247	-0.00146835	0.00124859
-40	-30	120	-0.00079419	-0.000926401	0.000700752
-40	-30	130	-0.000399624	-0.000659721	0.000364136
-40	-30	140	-0.000212912	-0.000511333	0.000176919
-40	-30	150	-0.000120866	-0.00041686	7.77983e-05
-40	-30	160	-7.3242e-05	-0.000349603	2.72176e-05
-40	-30	170	-4.7259e-05	-0.000297978	2.54591e-06
-40	-30	180	-3.22765e-05	-0.000256541	-8.5719e-06
-40	-30	190	-2.3147e-05	-0.000222431	-1.27452e-05
-40	-30	200	-1.72833e-05	-0.00019394	-1.34734e-05
-40	-20	-200	2.27369e-05	-0.00017567	0.000102776
-40	-20	-190	2.6881e-05	-0.000197877	0.000116916
-40	-20	-180	3.11158e-05	-0.000222377	0.000131203
-40	-20	-170	3.43123e-05	-0.000248509	0.000143196
